ARG,ID,RESULTNAME,DATENTYP,L/H,EINHEIT,NAME,MUL,DIV,ADD,説明(日本語)
EGAS_IST_LLS_B2,0x580E,STAT_LEERLAUFSTELLER_ISTWERT_BANK_2_WERT,signed int,high,%,-,1,10,0,アイドルアクチュエータの実測開度(バンク2)
EGAS_IST_DK_B1,0x580F,STAT_DROSSELKLAPPE_ISTWERT_BANK1_WERT,signed int,high,%,-,1,10,0,スロットル開度の実測値(バンク1)
EGAS_IST_DK_B2,0x5810,STAT_DROSSELKLAPPE_ISTWERT_BANK2_WERT,signed int,high,%,-,1,10,0,スロットル開度の実測値(バンク2)
EGAS_SOLL_LLS_B1,0x5811,STAT_LEERLAUFSTELLER_SOLLWERT_BANK_1_WERT,signed int,high,%,-,1,10,0,アイドルアクチュエータの目標開度(バンク1)
EGAS_SOLL_LLS_B2,0x5812,STAT_LEERLAUFSTELLER_SOLLWERT_BANK_2_WERT,signed int,high,%,-,1,10,0,アイドルアクチュエータの目標開度(バンク2)
EGAS_SOLL_DK_B1,0x5813,STAT_DROSSELKLAPPE_SOLLWERT_BANK_1_WERT,signed int,high,%,-,1,10,0,スロットル開度の目標値(バンク1)
EGAS_SOLL_DK_B2,0x5814,STAT_DROSSELKLAPPE_SOLLWERT_BANK_2_WERT,signed int,high,%,-,1,10,0,スロットル開度の目標値(バンク2)
UEXT_B1,0x5815,STAT_VERSORGUNGSSPANNUNG_1_WERT,unsigned int,high,Volt,-,5,49152,0,外部供給電圧1
UEXT_B2,0x5816,STAT_VERSORGUNGSSPANNUNG_2_WERT,unsigned int,high,Volt,-,5,49152,0,外部供給電圧2
MD_KUPP_IST,0x5817,STAT_ISTMOMENT_WERT,signed int,high,Nm,-,1,10,0,クラッチの実伝達トルク
PWG_SOLL,0x5818,STAT_PEDALWERTGEBER_SOLLWERT_WERT,signed int,high,%,-,1,10,0,アクセルペダル開度の目標値
V_VORNE,0x5819,STAT_VORDERACHSGESCHWINDIGKEIT_WERT,signed int,high,km/h,-,1,16,0,前軸(フロントアクスル)車速
V_HINTEN,0x581A,STAT_HINTERACHSGESCHWINDIGKEIT_WERT,signed int,high,km/h,-,1,16,0,後軸(リアアクスル)車速
GANG,0x581B,STAT_ISTGANG_WERT,signed int,high,Gang,-,1,1,0,現在のギア段(実測)
TOEL,0x581C,STAT_OELTEMPERATUR_WERT,signed int,high,°C,-,1,10,-273.2,エンジンオイル温度
TUMG,0x581D,STAT_UMGEBUNGSTEMPERATUR_WERT,signed int,high,°C,-,1,10,-273.2,外気温度
KAT_OBD_WERT_NV_B1,0x581E,STAT_KAT_DIAGNOSEWERT_BANK_1_WERT,unsigned int,high,-,-,1,16384,0,触媒のOBD診断値(バンク1)
KAT_OBD_WERT_NV_B2,0x581F,STAT_KAT_DIAGNOSEWERT_BANK_2_WERT,unsigned int,high,-,-,1,16384,0,触媒のOBD診断値(バンク2)
TABG_NKAT_B1,0x5820,STAT_ABGASTEMPERATUR_NACH_KAT_BANK_1_WERT,signed int,high,°C,-,1,10,-273.2,触媒後の排気温度(バンク1)
TABG_NKAT_B2,0x5821,STAT_ABGASTEMPERATUR_NACH_KAT_BANK_2_WERT,signed int,high,°C,-,1,10,-273.2,触媒後の排気温度(バンク2)
SK_URSACHE,0x5822,STAT_SICHERHEITSKONZEPT_URSACHE_WERT,unsigned int,high,0-n,sk_equ,1,1,0,セーフティコンセプト作動の要因コード
SYS_SG_FEHLER,0x5823,STAT_STEUERGERAET_INTERNE_FEHLERNUMMER_WERT,unsigned int,high,0-n,sg_err_equ,1,1,0,ECU内部の故障番号
TIME_MS,0x5824,STAT_MOTORSTANDZEIT_WERT,unsigned int,high,s,-,1,1,0,エンジン停止経過時間
PUMG,0x5825,STAT_UMGEBUNGSDRUCK_WERT,signed int,high,mbar,-,1,16,0,外気圧(大気圧)
SK_E2_FEHLER,0x5826,STAT_EBENE_2_FEHLERNUMMER_WERT,unsigned int,high,0-n,e2_err_equ,1,1,0,セーフティコンセプト レベル2の故障番号
LAM_IST_MW_B1,0x5827,STAT_LAMBDA_ISTWERT_VOR_KAT_BANK_1_WERT,unsigned int,high,-,-,1,16384,0,触媒前ラムダの実測値(バンク1)
LAM_IST_MW_B2,0x5828,STAT_LAMBDA_ISTWERT_VOR_KAT_BANK_2_WERT,unsigned int,high,-,-,1,16384,0,触媒前ラムダの実測値(バンク2)
LAM_SOLL_B1,0x5829,STAT_LAMBDA_SOLLWERT_VOR_KAT_BANK_1_WERT,unsigned int,high,-,-,1,16384,0,触媒前ラムダの目標値(バンク1)
LAM_SOLL_B2,0x582A,STAT_LAMBDA_SOLLWERT_VOR_KAT_BANK_2_WERT,unsigned int,high,-,-,1,16384,0,触媒前ラムダの目標値(バンク2)
ZUST_TMOT_START,0x582B,STAT_MOTORTEMPERATUR_IM_ZUSTAND_START_WERT,signed int,high,°C,-,1,10,-273.2,始動時点のエンジン(冷却水)温度
TMOT_ABSTELL_NV,0x582C,STAT_ABSTELLTEMPERATUR_DES_MOTORS_WERT,signed int,high,°C,-,1,10,-273.2,エンジン停止時に記憶した温度
MD_CAN_KKOS_MAX,0x582D,STAT_MAXIMALES_VERFUEGBARES_MOMENT_FUER_KKOS_WERT,signed int,high,Nm,-,1,10,0,エアコンコンプレッサーに割り当て可能な最大トルク
KWP_FETRAWE_ST,0x582F,STAT_ENERGIESPARMODE_WERT,unsigned int,high,0-n,fetrawe_equ,1,1,0,省電力モードの状態
RF_B1,0x5830,STAT_RELATIVE_FUELLUNG_BANK_1_WERT,signed int,high,-,-,1,10000,0,相対充填率(体積効率、バンク1)
RF_B2,0x5831,STAT_RELATIVE_FUELLUNG_BANK_2_WERT,signed int,high,-,-,1,10000,0,相対充填率(体積効率、バンク2)
AUSS_ST_B1,0x5832,STAT_AKTIVIERUNG_AUSSETZERERKENNUNG_BANK_1_WERT,unsigned int,high,-,-,1,1,0,失火検知機能の有効化状態(バンク1)
AUSS_ST_B2,0x5833,STAT_AKTIVIERUNG_AUSSETZERERKENNUNG_BANK_2_WERT,unsigned int,high,-,-,1,1,0,失火検知機能の有効化状態(バンク2)
AUSS_ERK,0x5834,STAT_ZUSTANDSVARIABLE_AUSSETZERERKENNUNG_WERT,unsigned int,high,-,-,1,1,0,失火検知ロジックの状態変数
KA_DTZ_SUM_ALL,0x5835,STAT_SUMMENZUENDWINKELVERSTELLUNG_KLOPFADAPTION_WERT,signed int,high,°KW,-,1,10,0,ノック学習による点火時期補正量の合計(全気筒)
KA_DTZ_SUM_B1,0x5836,STAT_SUMMENZUENDWINKELVERSTELLUNG_KLOPFADAPTION_BANK_1_WERT,signed int,high,°KW,-,1,10,0,ノック学習による点火時期補正量の合計(バンク1)
KA_DTZ_SUM_B2,0x5837,STAT_SUMMENZUENDWINKELVERSTELLUNG_KLOPFADAPTION_BANK_2_WERT,signed int,high,°KW,-,1,10,0,ノック学習による点火時期補正量の合計(バンク2)
KR_DTZ_SUM_B1,0x5838,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_BANK_1_WERT,signed int,high,°KW,-,1,10,0,ノックコントロールによる点火時期介入量(バンク1合計)
KR_DTZ_SUM_B2,0x5839,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_BANK_2_WERT,signed int,high,°KW,-,1,10,0,ノックコントロールによる点火時期介入量(バンク2合計)
SCHALTER_ST_INJ,0x583D,STAT_SCHALTERSTATUS_INJ-PROZESSOR_WERT,unsigned int,high,-,-,1,1,0,噴射制御プロセッサのスイッチ入力状態
SCHALTER_ST_IGN,0x583E,STAT_SCHALTERSTATUS_IGN-PROZESSOR_WERT,unsigned int,high,-,-,1,1,0,点火制御プロセッサのスイッチ入力状態
SW_CFG_BETRIEBSMODE_EXD,0x583F,STAT_BETRIEBSMODEEINSTELLUNG_PER_TESTER_WERT,unsigned int,high,-,-,1,1,0,診断機(テスター)による動作モード設定
EGAS_IST_WDK_B1,0x5840,STAT_DROSSELKLAPPE_ISTWERT_ANALOG_BANK_1_WERT,signed int,high,%,-,1,10,0,スロットル開度の実測値(アナログ、バンク1)
EGAS_IST_WDK_B2,0x5841,STAT_DROSSELKLAPPE_ISTWERT_ANALOG_BANK_2_WERT,signed int,high,%,-,1,10,0,スロットル開度の実測値(アナログ、バンク2)
CAN_BRP,0x5842,STAT_BREMSDRUCK_VOM_DSC_WERT,unsigned int,high,bar,-,1,1,0,ブレーキ圧(DSC/ABSユニットから受信)
CAN_KKOS_MD,0x5843,STAT_MOMENTENAUFNAHME_KLIMAKOMPRESSOR_WERT,signed int,high,Nm,-,1,2,0,エアコンコンプレッサーの負荷トルク
SLP_ST,0x5844,STAT_SEKUNDAERLUFTPUMPENSTATUS_WERT,unsigned int,high,0-n,slp_st_equ,1,1,0,二次空気(エアインジェクション)ポンプの状態
KH_ST,0x5846,STAT_KATHEIZSTATUS_WERT,unsigned int,high,-,-,1,1,0,触媒暖機(キャットヒート)制御の状態
CAN_AX,0x5847,STAT_LAENGSBESCHLEUNIGUNG_DSC_WERT,signed int,high,m/s*s,-,1,40,0,前後(縦)方向の加速度(DSCから受信)
CAN_AY,0x5848,STAT_QUERBESCHLEUNIGUNG_DSC_WERT,signed int,high,m/s*s,-,1,40,0,左右(横)方向の加速度(DSCから受信)
CAN_BRP_GRAD,0x5849,STAT_BREMSDRUCKGRADIENT_WERT,signed int,high,bar/s,-,50,1,0,ブレーキ圧の変化率
ELUP_ED_ST,0x584A,STAT_FEHLERART_ELEKTRISCHE_UNTERDRUCKPUMPE_WERT,unsigned int,high,-,-,1,1,0,電動負圧ポンプの故障種別
MVAC_ED_ST,0x584B,STAT_FEHLERART_UNTERDRUCKSENSOR_MASTERVAC_WERT,unsigned int,high,-,-,1,1,0,ブレーキブースター負圧センサーの故障種別
MVAC_AQ_BRE,0x584C,STAT_AQ-OFFSET_DURCH_MASTERVAC_AUF_LL-STELLER_BANK_2_WERT,unsigned int,high,qmm,-,1,10,0,ブレーキブースター(マスターバック)によるアイドルアクチュエータへの開口面積オフセット補正(バンク2)
ML_B1,0x584D,STAT_LUFTMASSENSTROM_BANK_1_WERT,signed int,high,kg/h,-,1,10,0,吸入空気質量流量(バンク1)
ML_B2,0x584E,STAT_LUFTMASSENSTROM_BANK_2_WERT,signed int,high,kg/h,-,1,10,0,吸入空気質量流量(バンク2)
MVAC_RF_SR,0x584F,STAT_EINFLUSS_RF_DURCH_MASTERVAC_BANK_2_WERT,signed int,high,-,-,1,10000,0,ブレーキブースター(マスターバック)による充填率への影響量(バンク2)
MD_KUPP_MAX,0x5850,STAT_MAXIMALES_KUPPLUNGSMOMENT_WERT,signed int,high,Nm,-,1,10,0,クラッチの最大伝達可能トルク
N_BEGR_EGAS,0x5851,STAT_DREHZAHLBEGRENZER_UEBER_MOMENTENEINGRIFF_WERT,signed int,high,Upm,-,1,1,0,トルク介入による回転数リミッター作動状態
MDRV_ST_DME,0x5852,STAT_MDRIVE-STATUS_DER_DME_WERT,unsigned int,high,-,-,1,1,0,M Driveモードの状態(DME側)
MVAC_PDIFF_UM,0x5853,STAT_MODELLUNTERDRUCK_BREMSKRAFTVERSTAERKER_WERT,signed int,high,mbar,-,1,16,0,ブレーキブースター負圧のモデル推定値
CAN_KKOS_ST,0x5854,STAT_LEERLAUFDREHZAHLANHEBUNG_DURCH_KLIMA_WERT,unsigned int,high,-,-,1,1,0,エアコン使用によるアイドル回転数上昇要求
SA_WE_ST,0x5855,STAT_SCHUBABSCHALTEN/-WIEDEREINSETZ_STATUS_WERT,unsigned int,high,0-n,sa_we_st_equ,1,1,0,減速時燃料カット/復帰の状態
ZUSTAND_FAHRZEUG,0x5856,STAT_ZUSTAND_FAHRZEUG_WERT,unsigned int,high,0-n,zust_fzg_equ,1,1,0,車両全体の状態(動作ステートマシン)
GANG_N_VERH,0x5857,STAT_GETRIEBEEINGANGSDREHZAHL/GETRIEBEABTRIEBSDREHZAHL_WERT,signed int,high,-,-,1,1024,0,変速機の入力/出力回転数比(実ギア比)
GANG_BERECH,0x5858,STAT_BERECHNETER_GANG_WERT,signed int,high,-,-,1,1,0,演算により推定された現在のギア段
N_GETR_EIN,0x5859,STAT_GETRIEBEEINGANGSDREHZAHL_WERT,signed int,high,U/min,-,1,1,0,変速機の入力軸回転数
N_GETR_ABTRIEB,0x585A,STAT_GETRIEBEABTRIEBSDREHZAHL_WERT,signed int,high,U/min,-,1,1,0,変速機の出力軸回転数
TUMG_ERSATZ,0x585B,STAT_ERSATZWERT_DER_UMGEBUNGSTEMPERATUR_WERT,signed int,high,°C,-,1,10,-273.2,外気温センサー異常時の代替(推定)値
LANK_US_B1,0x5C00,STAT_SONDENSPANNUNG_NACH_KAT_BANK_1_WERT,unsigned int,high,mV,-,5000,1024,0,触媒後O2センサー電圧(バンク1)
LANK_US_B2,0x5C01,STAT_SONDENSPANNUNG_NACH_KAT_BANK_2_WERT,unsigned int,high,mV,-,5000,1024,0,触媒後O2センサー電圧(バンク2)
LANK_OBD_S_ST_B1,0x5C02,STAT_OBD_SCHWINGUNGSDIAGNOSE_NACH_KAT_BANK_1_WERT,unsigned int,high,-,-,1,1,0,触媒後センサー振動診断の状態(バンク1、OBD)
LANK_OBD_S_ST_B2,0x5C03,STAT_OBD_SCHWINGUNGSDIAGNOSE_NACH_KAT_BANK_2_WERT,unsigned int,high,-,-,1,1,0,触媒後センサー振動診断の状態(バンク2、OBD)
LSHNK_DIAG_R_GMW_NV_B1,0x5C04,STAT_GEMITTELTER_HEIZERWIDERSTAND_NACH_KAT_BANK_1_WERT,unsigned int,high,Ohm,-,1,10,0,触媒後O2センサーヒーターの平均抵抗値(バンク1)
LSHNK_DIAG_R_GMW_NV_B2,0x5C05,STAT_GEMITTELTER_HEIZERWIDERSTAND_NACH_KAT_BANK_2_WERT,unsigned int,high,Ohm,-,1,10,0,触媒後O2センサーヒーターの平均抵抗値(バンク2)
LAM_B1_LAVK_AD,0x5C06,STAT_AD_WANDLER_SONDENSIGNAL_VOR_KAT_BANK_1_WERT,unsigned int,high,mV,-,5000,1024,0,触媒前O2センサー信号のAD変換値(バンク1)
LAM_B2_LAVK_AD,0x5C07,STAT_AD_WANDLER_SONDENSIGNAL_VOR_KAT_BANK_2_WERT,unsigned int,high,mV,-,5000,1024,0,触媒前O2センサー信号のAD変換値(バンク2)
LAVK_OBD_DYN_WERT_NV_B1,0x5C08,STAT_GEMITTELTES_NORMIERTES_INTEGRAL_-_SONDE_VOR_KAT_BANK_1_WERT,unsigned int,high,-,-,1,16384,0,触媒前センサー動的診断の正規化積分平均値(バンク1)
LAVK_OBD_DYN_WERT_NV_B2,0x5C09,STAT_GEMITTELTES_NORMIERTES_INTEGRAL_-_SONDE_VOR_KAT_BANK_2_WERT,unsigned int,high,-,-,1,16384,0,触媒前センサー動的診断の正規化積分平均値(バンク2)
PKS_SOLL,0x5C0A,STAT_KRAFTSTOFFSOLLDRUCK_WERT,signed int,high,bar,-,1,1000,0,燃料圧力の目標値
LSHVK_B1_R_MESS_KORR,0x5C0B,STAT_KORR_GEFILTERTER_AD_WERT_SONDENWIDERSTAND_VOR_KAT_BANK_1_WERT,unsigned int,high,mV,-,5000,1024,0,触媒前センサー抵抗の補正・フィルタ後AD値(バンク1)
LSHVK_B2_R_MESS_KORR,0x5C0C,STAT_KORR_GEFILTERTER_AD_WERT_SONDENWIDERSTAND_VOR_KAT_BANK_2_WERT,unsigned int,high,mV,-,5000,1024,0,触媒前センサー抵抗の補正・フィルタ後AD値(バンク2)
LSHVK_DIAG_R_GMW_NV_B1,0x5C0D,STAT_GEMITTELTER_HEIZERWIDERSTAND_VOR_KAT_BANK_1_WERT,unsigned int,high,Ohm,-,1,10,0,触媒前O2センサーヒーターの平均抵抗値(バンク1)
LSHVK_DIAG_R_GMW_NV_B2,0x5C0E,STAT_GEMITTELTER_HEIZERWIDERSTAND_VOR_KAT_BANK_2_WERT,unsigned int,high,Ohm,-,1,10,0,触媒前O2センサーヒーターの平均抵抗値(バンク2)
LAVK_ATIC42_DIAG_BYTE_B1,0x5C0F,STAT_ATIC42_DIAGNOSEBYTE_SONDE_VOR_KAT_BANK_1_WERT,unsigned int,high,-,-,1,1,0,触媒前O2センサー用ICドライバ(ATIC42)の診断バイト(バンク1)
LAVK_ATIC42_DIAG_BYTE_B2,0x5C10,STAT_ATIC42_DIAGNOSEBYTE_SONDE_VOR_KAT_BANK_2_WERT,unsigned int,high,-,-,1,1,0,触媒前O2センサー用ICドライバ(ATIC42)の診断バイト(バンク2)
LAVK_ATIC42_PIN_DIAG_B1,0x5C11,STAT_ATIC42_PINDIAGNOSE_SONDE_VOR_KAT_BANK_1_WERT,unsigned int,high,-,-,1,1,0,触媒前O2センサー用ICドライバのピン診断(バンク1)
LAVK_ATIC42_PIN_DIAG_B2,0x5C12,STAT_ATIC42_PINDIAGNOSE_SONDE_VOR_KAT_BANK_2_WERT,unsigned int,high,-,-,1,1,0,触媒前O2センサー用ICドライバのピン診断(バンク2)
VAN_IST_FILT_E1,0x5C13,STAT_VANOS_ISTPOSITION_EINLASS_BANK_1_WERT,signed int,high,°KW,-,1,10,0,VANOS吸気カムの実位置(バンク1)
VAN_IST_FILT_A1,0x5C14,STAT_VANOS_ISTPOSITION_AUSLASS_BANK_1_WERT,signed int,high,°KW,-,1,10,0,VANOS排気カムの実位置(バンク1)
VAN_IST_FILT_E2,0x5C15,STAT_VANOS_ISTPOSITION_EINLASS_BANK_2_WERT,signed int,high,°KW,-,1,10,0,VANOS吸気カムの実位置(バンク2)
VAN_IST_FILT_A2,0x5C16,STAT_VANOS_ISTPOSITION_AUSLASS_BANK_2_WERT,signed int,high,°KW,-,1,10,0,VANOS排気カムの実位置(バンク2)
VAN_SOLL_E1,0x5C17,STAT_VANOS_SOLLPOSITION_EINLASS_BANK_1_WERT,signed int,high,°KW,-,1,10,0,VANOS吸気カムの目標位置(バンク1)
VAN_SOLL_A1,0x5C18,STAT_VANOS_SOLLPOSITION_AUSLASS_BANK_1_WERT,signed int,high,°KW,-,1,10,0,VANOS排気カムの目標位置(バンク1)
VAN_SOLL_E2,0x5C19,STAT_VANOS_SOLLPOSITION_EINLASS_BANK_2_WERT,signed int,high,°KW,-,1,10,0,VANOS吸気カムの目標位置(バンク2)
VAN_SOLL_A2,0x5C1A,STAT_VANOS_SOLLPOSITION_AUSLASS_BANK_2_WERT,signed int,high,°KW,-,1,10,0,VANOS排気カムの目標位置(バンク2)
VAN_IST_ANSCHL_E1,0x5C1B,STAT_VANOS_GEMESSENER_ANSCHLAG_EINLASS_BANK_1_WERT,signed int,high,°KW,-,1,10,0,VANOS吸気カムの機械的端実測位置(バンク1)
VAN_IST_ANSCHL_A1,0x5C1C,STAT_VANOS_GEMESSENER_ANSCHLAG_AUSLASS_BANK_1_WERT,signed int,high,°KW,-,1,10,0,VANOS排気カムの機械的端(リミット)実測位置(バンク1)
VAN_IST_ANSCHL_E2,0x5C1D,STAT_VANOS_GEMESSENER_ANSCHLAG_EINLASS_BANK_2_WERT,signed int,high,°KW,-,1,10,0,VANOS吸気カムの機械的端実測位置(バンク2)
VAN_IST_ANSCHL_A2,0x5C1E,STAT_VANOS_GEMESSENER_ANSCHLAG_AUSLASS_BANK_2_WERT,signed int,high,°KW,-,1,10,0,VANOS排気カムの機械的端実測位置(バンク2)
DMTL_I_REF,0x5C1F,STAT_DMTL_REFERENZSTROM_WERT,unsigned int,high,mA,-,1,444,0,燃料タンクリーク診断(DMTL)ポンプ基準電流
DMTL_I_MIN,0x5C20,STAT_DMTL_MINIMALSTROM_WERT,unsigned int,high,mA,-,1,444,0,燃料タンクリーク診断(DMTL)ポンプ最小電流
DMTL_I_FILT,0x5C21,STAT_DMTL_GEFILTERTER_PUMPENSTROM_WERT,unsigned int,high,mA,-,1,444,0,燃料タンクリーク診断(DMTL)ポンプ電流(フィルタ後)
CAN_FST_SUM,0x5C22,STAT_TANKFUELLSTAND_WERT,unsigned int,high,L,-,1,2,0,燃料タンク残量(合計)
STATUS,0x5C23,STAT_FEHLER_STATUS_WERT,unsigned int,high,0-n,sys_ed_st_equ,1,1,0,システム全体の故障ステータス
ML_AQ_B1,0x5C26,STAT_LUFTMASSENSTROM_UEBER_DROSSELKLAPPEN-OEFFNUNG_BANK_1_WERT,signed int,high,kg/h,-,1,10,0,スロットル開口断面積(AQ)から推定した空気流量(バンク1)
ML_AQ_B2,0x5C27,STAT_LUFTMASSENSTROM_UEBER_DROSSELKLAPPEN-OEFFNUNG_BANK_2_WERT,signed int,high,kg/h,-,1,10,0,スロットル開口断面積(AQ)から推定した空気流量(バンク2)
ML_LAM_B1,0x5C28,STAT_LUFTMASSENSTROM_UEBER_LAMBDA_BANK_1_WERT,signed int,high,kg/h,-,1,10,0,ラムダ値から推定した空気流量(バンク1)
ML_LAM_B2,0x5C29,STAT_LUFTMASSENSTROM_UEBER_LAMBDA_BANK_2_WERT,signed int,high,kg/h,-,1,10,0,ラムダ値から推定した空気流量(バンク2)
LANK_DIAG_ST_B1,0x5C2A,STAT_ELEKTRISCHE_DIAGNOSE_NACH_KAT_BANK_1_WERT,unsigned int,high,0-n,lank_diag_equ,1,1,0,触媒後センサーの電気系診断状態(バンク1)
LANK_DIAG_ST_B2,0x5C2B,STAT_ELEKTRISCHE_DIAGNOSE_NACH_KAT_BANK_2_WERT,unsigned int,high,0-n,lank_diag_equ,1,1,0,触媒後センサーの電気系診断状態(バンク2)
LSHVK_DIAG_R_ADAPT_B1,0x5C2C,STAT_ADAPTIERT_GEMITTELTER_HEIZERWIDERSTAND_VOR_KAT_BANK_1_WERT,unsigned int,high,Ohm,-,1,10,0,触媒前O2センサーヒーター抵抗の学習平均値(バンク1)
LSHVK_DIAG_R_ADAPT_B2,0x5C2D,STAT_ADAPTIERT_GEMITTELTER_HEIZERWIDERSTAND_VOR_KAT_BANK_2_WERT,unsigned int,high,Ohm,-,1,10,0,触媒前O2センサーヒーター抵抗の学習平均値(バンク2)
LSHVK_B1_TV_KORR,0x5C2E,STAT_TASTVERHAELTNIS_SONDENHEIZUNG_KORRIGIERT_VOR_KAT_BANK_1_WERT,unsigned int,high,%,-,100,2048,0,触媒前O2センサーヒーター駆動デューティ比(補正後、バンク1)
LSHVK_B2_TV_KORR,0x5C2F,STAT_TASTVERHAELTNIS_SONDENHEIZUNG_KORRIGIERT_VOR_KAT_BANK_2_WERT,unsigned int,high,%,-,100,2048,0,触媒前O2センサーヒーター駆動デューティ比(補正後、バンク2)
LSHVK_B1_TEMP_IST,0x5C30,STAT_SONDEN_ISTTEMPERATUR_VOR_KAT_BANK_1_WERT,signed int,high,°C,-,1,1,0,触媒前O2センサーの実測温度(バンク1)
LSHVK_B2_TEMP_IST,0x5C31,STAT_SONDEN_ISTTEMPERATUR_VOR_KAT_BANK_2_WERT,signed int,high,°C,-,1,1,0,触媒前O2センサーの実測温度(バンク2)
LSHVK_B1_TEMP_SOLL,0x5C32,STAT_SONDEN_SOLLTEMPERATUR_VOR_KAT_BANK_1_WERT,signed int,high,°C,-,1,1,0,触媒前O2センサーの目標温度(バンク1)
LSHVK_B2_TEMP_SOLL,0x5C33,STAT_SONDEN_SOLLTEMPERATUR_VOR_KAT_BANK_2_WERT,signed int,high,°C,-,1,1,0,触媒前O2センサーの目標温度(バンク2)
LAM_REG_F_B1,0x5C34,STAT_LAMBDAREGLEREINGRIFF_VOR_KAT_BANK_1_WERT,unsigned int,high,-,-,1,32768,0,触媒前ラムダフィードバック制御の介入量(バンク1)
LAM_REG_F_B2,0x5C35,STAT_LAMBDAREGLEREINGRIFF_VOR_KAT_BANK_2_WERT,unsigned int,high,-,-,1,32768,0,触媒前ラムダフィードバック制御の介入量(バンク2)
LAA_F_BER_NV_B1,0x5C36,STAT_LAMBDAADAPTIONSFAKTOR_OHNE_TANKENTLUEFTUNG_VOR_KAT_BANK_1_WERT,unsigned int,high,-,-,1,32768,0,触媒前ラムダ学習係数(パージなし、バンク1)
LAA_F_BER_NV_B2,0x5C37,STAT_LAMBDAADAPTIONSFAKTOR_OHNE_TANKENTLUEFTUNG_VOR_KAT_BANK_2_WERT,unsigned int,high,-,-,1,32768,0,触媒前ラムダ学習係数(パージなし、バンク2)
LAA_OFFS_NV_B1,0x5C38,STAT_OFFSET_LAMBDAADAPTION_VOR_KAT_BANK_1_WERT,signed int,high,mg/ASP,-,1,64,0,触媒前ラムダ学習のオフセット値(バンク1)
LAA_OFFS_NV_B2,0x5C39,STAT_OFFSET_LAMBDAADAPTION_VOR_KAT_BANK_2_WERT,signed int,high,mg/ASP,-,1,64,0,触媒前ラムダ学習のオフセット値(バンク2)
LAA_F_B1,0x5C3A,STAT_LAMBDAADAPTIONSFAKTOR_MIT_TANKENTLUEFTUNG_VOR_KAT_BANK_1_WERT,unsigned int,high,-,-,1,32768,0,触媒前ラムダ学習係数(燃料蒸発ガスパージあり、バンク1)
LAA_F_B2,0x5C3B,STAT_LAMBDAADAPTIONSFAKTOR_MIT_TANKENTLUEFTUNG_VOR_KAT_BANK_2_WERT,unsigned int,high,-,-,1,32768,0,触媒前ラムダ学習係数(燃料蒸発ガスパージあり、バンク2)
LAM_W_B1_SOLL_ADD_KONV,0x5C3E,STAT_LAMBDASOLLWERT_PULSHUB_VOR_KAT_BANK_1_WERT,signed int,high,-,-,1,16384,0,触媒前ラムダ目標値の強制加振(パルス)量(バンク1)
LAM_W_B2_SOLL_ADD_KONV,0x5C3F,STAT_LAMBDASOLLWERT_PULSHUB_VOR_KAT_BANK_2_WERT,signed int,high,-,-,1,16384,0,触媒前ラムダ目標値の強制加振(パルス)量(バンク2)
